Company Name,Founding Date,Founder name,Location,Industry/Sector,Stage,Brief Description,Team Members,Business Model,Loyal Customer,Market Size (Rp),Market Target,Amount seeking (Rp),Funding Raised (Rp),Revenue (Rp),Profiitability (%),Growth rate (%),Preferred investment type,Intended use of funds
LayaCycle,2022-03-01,Astrid Riani,"Jakarta, DKI Jakarta",Sustainable Energy,Series C,"""LayaCycle is a startup that offers a smart recycling system for households and businesses. Our patented technology uses AI and IoT to sort and process recyclables, reducing waste management costs and increasing recycling rates. With LayaCycle, consumers can easily recycle more and reduce their environmental impact. We're looking to scale our operations and expand to new markets, increasing our revenue and customer base.""",27,Ad-based,9325,11000000000,Enterprises,43000000000,35000000,111000000.0,0.47,108.0,Equity,"""Scale operations, expand marketing efforts, and enhance technology development to increase recycling rates and customer satisfaction."""
FarmaCare,2018-09-15,Rifqi Fadhilah,"Bandung, West Java",Healthcare Technology,Series B,"""FarmaCare is a digital health platform that connects patients with licensed pharmacists for remote consultations and medication management. Our platform uses AI-powered chatbots to provide personalized health advice, medication adherence support, and disease management. With FarmaCare, patients can access quality healthcare services from the comfort of their own homes, reducing healthcare costs and improving health outcomes. We're looking to expand our team and develop new features to enhance user experience and increase revenue.""",75,SaaS,539,6000000000,Specific Industries,54000000000,27000000,105000000.0,0.38,62.0,Debt,"""Hire additional staff, develop new features, and enhance marketing efforts to increase user."""
Edify,2019-06-10,Dewi Kusuma,"Yogyakarta, Special Region of Yogyakarta",Education Technology,Growth,"""Edify is an Education Technology startup that provides interactive learning platforms and tools for students and teachers. Our platform uses gamification, AI-powered adaptive learning, and real-time feedback to enhance student engagement and academic outcomes. With Edify, students can learn at their own pace, teachers can track progress and provide personalized support, and schools can improve student performance and retention rates. We're looking to launch our product and acquire our first customers, generating revenue and user growth.""",22,Freemium,17222,32000000000,Specific Industries,24000000000,24000000,116000000.0,0.31,144.0,Convertible Note,"""Product development, marketing and sales efforts, and team expansion to increase us."""
ClimaConnect,2017-12-25,Aldi Saputra,"Surabaya, East Java",Sustainable Energy,Series A,"""ClimaConnect is a cleantech startup that develops and deploys solar energy solutions for commercial and industrial customers. Our patented technology uses AI-powered energy management and optimization to reduce energy waste and lower costs for our clients. With ClimaConnect, businesses can reduce their carbon footprint, lower their energy bills, and enhance their brand reputation. We're looking to expand our sales team and develop new products to increase revenue and market share.""",147,SaaS,3517,45000000000,Specific Industries,57000000000,32000000,154000000.0,0.28,106.0,Equity,"""Hire additional sales staff, develop new products, and enhance marketing efforts to increase customer acquisition and revenue."""
Lumina Labs,2016-03-15,Gede Surya,"Bali, Bali",Artificial Intelligence,Growth,"""Lumina Labs is an AI startup that develops and deploys AI-powered solutions for various industries, including healthcare, finance, and retail. Our patented technology uses machine learning and natural language processing to enhance customer experience, reduce costs, and improve business outcomes. With Lumina Labs, businesses can gain insights, make data-driven decisions, and stay ahead of the competition. We're looking to expand our team and develop new products to increase revenue and market share.""",89,Subscription,10897,24000000000,Global,25000000000,30000000,186000000.0,0.29,68.0,Debt,"""Hire additional staff, develop new products, and enhance marketing efforts to increase customer acquisition and revenue."""
Vitality Ventures,2020-06-01,Ratna Dewi,"Medan, North Sumatra",Health and Wellness,Growth,"""Vitality Ventures is a health and wellness startup that offers personalized fitness and nutrition plans for individuals and groups. Our platform uses AI-powered analytics and machine learning to provide customized recommendations and track progress. With Vitality Ventures, users can achieve their health and wellness goals, improve their mental and physical well-being, and enhance their quality of life. We're looking to launch our product and acquire our first customers, generating revenue and user growth.""",125,Marketplace,3360,6000000000,SMBs,35000000000,25000000,15000000.0,0.31,62.0,Equity,"""Product development, marketing and sales efforts, and team expansion to increase user acquisition and revenue."""
MindSprint,2019-09-01,Wahyu Widodo,"Semarang, Central Java",Education Technology,Series C,"""MindSprint is an Education Technology startup that develops and deploys AI-powered learning platforms and tools for students and teachers. Our platform uses gamification, adaptive learning, and real-time feedback to enhance student engagement and academic outcomes. With MindSprint, students can learn at their own pace, teachers can track progress and provide personalized support, and schools can improve student performance and retention rates. We're looking to expand our team and develop new features to increase user experience and revenue.""",99,E-commerce,14717,31000000000,SMBs,16000000000,16000000,99000000.0,0.26,39.0,Convertible Note,"""Hire additional staff, develop new features, and enhance marketing efforts to increase."""
EcoCycle,2018-03-01,Siti Nurhayati,"Pontianak, West Kalimantan",Sustainable Energy,Growth,"""EcoCycle is a cleantech startup that develops and deploys waste-to-energy solutions for households and businesses. Our patented technology uses AI-powered waste management and optimization to reduce waste disposal costs and increase recycling rates. With EcoCycle, consumers can easily recycle more and reduce their environmental impact. We're looking to scale our operations and expand to new markets, increasing our revenue and customer base.""",46,E-commerce,15961,31000000000,Global,24000000000,45000000,30000000.0,0.14,94.0,Debt,"""Expand operations, boost marketing strategies, and advance technology development to improve recycling rates and enhance customer satisfaction."""
Cerebro,2022-03-15,Andika Prasetya,"Bandung, West Java",Artificial Intelligence,Series B,"""Cerebro is an AI startup that develops and deploys AI-powered solutions for various industries, including healthcare, finance, and retail. Our patented technology uses machine learning and natural language processing to enhance customer experience, reduce costs, and improve business outcomes. With Cerebro, businesses can gain insights, make data-driven decisions, and stay ahead of the competition. We're looking to expand our team and develop new products to increase revenue and market share.""",79,Freemium,6340,26000000000,Enterprises,41000000000,5000000,90000000.0,-0.18,115.0,Equity,"""Expand the team, create new products, and strengthen marketing strategies to boost customer acquisition and revenue."""
Nexa Health,2022-01-15,Muhammad Fadli,"Yogyakarta, Special Region of Yogyakarta",Healthcare Technology,Pre-seed,"""Nexa Health is a healthtech startup that offers personalized health and wellness solutions for individuals and groups. Our platform uses AI-powered analytics and machine learning to provide customized recommendations and track progress. With Nexa Health, users can achieve their health and wellness goals, improve their mental and physical well-being, and enhance their quality of life. We're looking to launch our product and acquire our first customers, generating revenue and user growth.""",111,Ad-based,10439,34000000000,Specific Industries,87000000000,13000000,46000000.0,0.57,103.0,Convertible Note,"""Develop products, enhance marketing and sales strategies, and grow the team to boost user acquisition and revenue."""
GreenTech Indonesia,2020-05-15,Rahmi Prasetyo,"Jakarta, DKI Jakarta",Sustainable Energy,Series A,"""GreenTech Indonesia is a social enterprise that provides affordable and renewable energy solutions to underserved communities in Indonesia. We aim to reduce carbon footprint and promote sustainable development through our innovative products and services. Our flagship product is a portable solar-powered generator that can charge smartphones, laptops, and other electronic devices. We also offer energy-efficient lighting solutions and provide training to local communities on sustainable energy practices.""",100,Freemium,13412,38000000000,SMBs,49000000000,6000000,157000000.0,0.23,102.0,Equity,"""We plan to use the investment to scale up our production capacity, expand our distribution network, and develop new p."""
